"","name","state","pop2000","pop2010","pop2017","poverty","unemployment_rate"
"1","Autauga County","Alabama",43671,54571,55504,13.7,3.86
"2","Baldwin County","Alabama",140415,182265,212628,11.8,3.99
"3","Barbour County","Alabama",29038,27457,25270,27.2,5.9
"4","Bibb County","Alabama",20826,22915,22668,15.2,4.39
"5","Blount County","Alabama",51024,57322,58013,15.6,4.02
"6","Bullock County","Alabama",11714,10914,10309,28.5,4.93
"7","Butler County","Alabama",21399,20947,19825,24.4,5.49
"8","Calhoun County","Alabama",112249,118572,114728,18.6,4.93
"9","Chambers County","Alabama",36583,34215,33713,18.8,4.08
"10","Cherokee County","Alabama",23988,25989,25857,16.1,4.05
"11","Chilton County","Alabama",39593,43643,44067,19.4,4.05
"12","Choctaw County","Alabama",15922,13859,12945,22.3,6.39
"13","Clarke County","Alabama",27867,25833,24083,25.3,8.48
"14","Clay County","Alabama",14254,13932,13367,19.1,4.37
"15","Cleburne County","Alabama",14123,14972,14900,19.1,4.46
"16","Coffee County","Alabama",43615,49948,51874,16.1,4.39
"17","Colbert County","Alabama",54984,54428,54500,16.8,5.21
"18","Conecuh County","Alabama",14089,13228,12469,26.4,6.14
"19","Coosa County","Alabama",12202,11539,10754,14.4,4.62
"20","Covington County","Alabama",37631,37765,37092,17.6,5.24
"21","Crenshaw County","Alabama",13665,13906,13871,17.6,4.47
"22","Cullman County","Alabama",77483,80406,82755,16.4,3.71
"23","Dale County","Alabama",49129,50251,49226,19.6,4.43
"24","Dallas County","Alabama",46365,43820,39215,31.9,7.53
"25","DeKalb County","Alabama",64452,71109,71617,21.5,4.49
"26","Elmore County","Alabama",65874,79303,81677,13.5,3.64
"27","Escambia County","Alabama",38440,38319,37447,23.8,5.03
"28","Etowah County","Alabama",103459,104430,102755,17.9,4.57
"29","Fayette County","Alabama",18495,17241,16468,18.1,4.73
"30","Franklin County","Alabama",31223,31704,31495,23,4.23
"31","Geneva County","Alabama",25764,26790,26421,22.5,4.27
"32","Greene County","Alabama",9974,9045,8330,38.8,7.66
"33","Hale County","Alabama",17185,15760,14812,26.1,5.89
"34","Henry County","Alabama",16310,17302,17147,13.7,4.87
"35","Houston County","Alabama",88787,101547,104346,18.5,4.34
"36","Jackson County","Alabama",53926,53227,51909,19,4.77
"37","Jefferson County","Alabama",662047,658466,659197,17.6,4.24
"38","Lamar County","Alabama",15904,14564,13946,23.1,4.23
"39","Lauderdale County","Alabama",87966,92709,92538,16.3,4.61
"40","Lawrence County","Alabama",34803,34339,33049,16.6,4.88
"41","Lee County","Alabama",115092,140247,161604,22,3.91
"42","Limestone County","Alabama",65676,82782,94402,14.8,3.98
"43","Lowndes County","Alabama",13473,11299,10076,30.2,8
"44","Macon County","Alabama",24105,21452,18755,25.9,5.78
"45","Madison County","Alabama",276700,334811,361046,13.6,3.85
"46","Marengo County","Alabama",22539,21027,19375,25.6,5.65
"47","Marion County","Alabama",31214,30776,29833,17.6,4.79
"48","Marshall County","Alabama",82231,93019,95548,21,3.8
"49","Mobile County","Alabama",399843,412992,413955,19.3,5.18
"50","Monroe County","Alabama",24324,23068,21327,33.7,6.74
"51","Montgomery County","Alabama",223510,229363,226646,20.8,4.3
"52","Morgan County","Alabama",111064,119490,118818,16.6,4.11
"53","Perry County","Alabama",11861,10591,9339,41.9,7.94
"54","Pickens County","Alabama",20949,19746,20176,22.9,5.29
"55","Pike County","Alabama",29605,32899,33267,26.3,4.88
"56","Randolph County","Alabama",22380,22913,22670,18.7,4.4
"57","Russell County","Alabama",49756,52947,57045,20.9,4.3
"58","St. Clair County","Alabama",64742,83593,88199,13.7,3.97
"59","Shelby County","Alabama",143293,195085,213605,8.3,3.23
"60","Sumter County","Alabama",14798,13763,12687,36,6.54
"61","Talladega County","Alabama",80321,82291,80065,19.3,4.96
"62","Tallapoosa County","Alabama",41475,41616,40681,21.2,4.16
"63","Tuscaloosa County","Alabama",164875,194656,207811,17.3,4.14
"64","Walker County","Alabama",70713,67023,64058,21.5,5.02
"65","Washington County","Alabama",18097,17581,16531,22,6.84
"66","Wilcox County","Alabama",13183,11670,10719,31.9,11.4
"67","Winston County","Alabama",24843,24484,23722,18.7,5
"68","Aleutians East Borough","Alaska",2697,3141,3370,16.7,2.52
"69","Aleutians West Census Area","Alaska",5465,5561,5763,7.5,3.63
"70","Anchorage Municipality","Alaska",260283,291826,294356,8.1,5.97
"71","Bethel Census Area","Alaska",16006,17013,18076,27,13.79
"72","Bristol Bay Borough","Alaska",1258,997,867,7.1,6.34
"73","Denali Borough","Alaska",1893,1826,2074,15.5,9.38
"74","Dillingham Census Area","Alaska",4922,4847,4932,16.6,9.29
"75","Fairbanks North Star Borough","Alaska",82840,97581,99703,7.7,6.29
"76","Haines Borough","Alaska",2392,2508,2526,8.4,9.09
"77","Juneau City and Borough","Alaska",30711,31275,32094,7.4,4.75
"78","Kenai Peninsula Borough","Alaska",49691,55400,58617,11,8.49
"79","Ketchikan Gateway Borough","Alaska",14070,13477,13856,10.6,6.31
"80","Kodiak Island Borough","Alaska",13913,13592,13448,9.3,5.1
"81","Lake and Peninsula Borough","Alaska",1823,1631,1620,16.5,11.89
"82","Matanuska-Susitna Borough","Alaska",59322,88995,106532,9.8,8.66
"83","Nome Census Area","Alaska",9196,9492,9921,24.9,12.57
"84","North Slope Borough","Alaska",7385,9430,9782,10.2,7.44
"85","Northwest Arctic Borough","Alaska",7208,7523,7684,25.3,16.82
"86","Petersburg Borough","Alaska",6684,3815,3281,7.8,9.34
"87","Prince of Wales-Hyder Census Area","Alaska",6146,5559,6443,16,11.42
"88","Sitka City and Borough","Alaska",8835,8881,8689,9.2,4.68
"89","Southeast Fairbanks Census Area","Alaska",6174,7029,6888,13.9,10.44
"90","Valdez-Cordova Census Area","Alaska",10195,9636,9278,7.4,7.96
"91","Yakutat City and Borough","Alaska",808,662,605,6.2,9.36
"92","Yukon-Koyukuk Census Area","Alaska",6551,5588,5365,25.5,18.26
"93","Apache County","Arizona",69423,71518,71606,35.9,10.42
"94","Cochise County","Arizona",117755,131346,124756,18.1,5.61
"95","Coconino County","Arizona",116320,134421,140776,21,5.55
"96","Gila County","Arizona",51335,53597,53501,21.9,6.06
"97","Graham County","Arizona",33489,37220,37466,21.4,5.44
"98","Greenlee County","Arizona",8547,8437,9455,11.5,5.11
"99","La Paz County","Arizona",19715,20489,20601,19.7,5.38
"100","Maricopa County","Arizona",3072149,3817117,4307033,15.7,4.17
"101","Mohave County","Arizona",155032,200186,207200,18.6,5.86
"102","Navajo County","Arizona",97470,107449,108956,29.1,7.57
"103","Pima County","Arizona",843746,980263,1022769,18.3,4.48
"104","Pinal County","Arizona",179727,375770,430237,15.5,5.02
"105","Santa Cruz County","Arizona",38381,47420,46212,21.8,9.51
"106","Yavapai County","Arizona",167517,211033,228168,14.7,4.5
"107","Yuma County","Arizona",160026,195751,207534,19.7,17.05
"108","Arkansas County","Arkansas",20749,19019,17967,20.7,3.26
"109","Ashley County","Arkansas",24209,21853,20283,21.3,5.73
"110","Baxter County","Arkansas",38386,41513,41355,12.6,4.23
"111","Benton County","Arkansas",153406,221339,266300,10.5,2.9
"112","Boone County","Arkansas",33948,36903,37381,15.8,3.43
"113","Bradley County","Arkansas",12600,11508,10864,26.4,4.68
"114","Calhoun County","Arkansas",5744,5368,5247,19.6,3.94
"115","Carroll County","Arkansas",25357,27446,27944,15.7,3.29
"116","Chicot County","Arkansas",14117,11800,10636,29.4,6.53
"117","Clark County","Arkansas",23546,22995,22293,21.5,3.98
"118","Clay County","Arkansas",17609,16083,14920,22.3,4.55
"119","Cleburne County","Arkansas",24046,25970,25048,15.4,4.9
"120","Cleveland County","Arkansas",8571,8689,8202,19.3,4.37
"121","Columbia County","Arkansas",25603,24552,23627,25.1,5.05
"122","Conway County","Arkansas",20336,21273,20916,18.5,4.73
"123","Craighead County","Arkansas",82148,96443,107115,18.3,2.98
"124","Crawford County","Arkansas",53247,61948,62996,16.6,3.54
"125","Crittenden County","Arkansas",50866,50902,48750,23.5,4.29
"126","Cross County","Arkansas",19526,17870,16863,18,3.97
"127","Dallas County","Arkansas",9210,8116,7393,13.2,4.51
"128","Desha County","Arkansas",15341,13008,11764,32.6,4.8
"129","Drew County","Arkansas",18723,18509,18547,24.4,5.16
"130","Faulkner County","Arkansas",86014,113237,123654,16.3,3.32
"131","Franklin County","Arkansas",17771,18125,17890,21.9,3.47
"132","Fulton County","Arkansas",11642,12245,12055,23,4.21
"133","Garland County","Arkansas",88068,96024,98658,19.1,4.01
"134","Grant County","Arkansas",16464,17853,18165,14.4,3.19
"135","Greene County","Arkansas",37331,42090,45053,15.9,3.65
"136","Hempstead County","Arkansas",23587,22609,21861,25.3,3.46
"137","Hot Spring County","Arkansas",30353,32923,33574,15.8,3.69
"138","Howard County","Arkansas",14300,13789,13478,21,3.04
"139","Independence County","Arkansas",34233,36647,37504,18.5,4.22
"140","Izard County","Arkansas",13249,13696,13686,17.7,5.46
"141","Jackson County","Arkansas",18418,17997,17135,25.1,5.85
"142","Jefferson County","Arkansas",84278,77435,69115,24.7,5.18
"143","Johnson County","Arkansas",22781,25540,26552,22.5,4.24
"144","Lafayette County","Arkansas",8559,7645,6862,23.8,5.08
"145","Lawrence County","Arkansas",17774,17415,16525,18.4,3.77
"146","Lee County","Arkansas",12580,10424,9176,27.3,4.84
"147","Lincoln County","Arkansas",14492,14134,13646,17.9,4.19
"148","Little River County","Arkansas",13628,13171,12359,18.8,4.79
"149","Logan County","Arkansas",22486,22353,21722,20.2,3.83
"150","Lonoke County","Arkansas",52828,68356,72898,12.3,3.25
"151","Madison County","Arkansas",14243,15717,16339,17.8,2.8
"152","Marion County","Arkansas",16140,16653,16428,19.5,3.94
"153","Miller County","Arkansas",40443,43462,43984,21,4.31
"154","Mississippi County","Arkansas",51979,46480,42159,25.6,5.94
"155","Monroe County","Arkansas",10254,8149,7085,28.6,4.26
"156","Montgomery County","Arkansas",9245,9487,8919,18.1,4.82
"157","Nevada County","Arkansas",9955,8997,8327,23,3.54
